city,latitude,longitude
Manali,32.1393865,77.1546599
Gurgaon,28.4720966,77.0725457
Goa,15.5483979815,73.7576337604
Manali,32.2236026,77.1858995
Delhi,28.6467775,77.2127353
Goa,15.5609234692,73.7497587248
Delhi,28.5403197,77.2613326
Delhi,28.6505881342,77.1946919955
Jaipur,26.9047751,75.7488641
Delhi,28.5732907,77.2219418
Guwahati,26.1661828147,91.7774135711
NOIDA,28.5522379,77.3597194
Delhi,28.7097476,77.1103954
Manali,32.2459026,77.1880853
Goa,15.5049283,73.7919103
Chennai,12.8944628,80.2273584
Chitrasani,24.26778,72.483507
Sawai Madhopur,26.0065687,76.6037222
Dalhousie,32.537371,75.9824737
Alleppey,9.4980667,76.3388484
Pune,18.4788581929,73.8223181405
Nanded,19.1382514,77.3209555
Mandarmani,21.6614133299,87.6978331375
Yercaud,11.7887759755,78.211105642
Manali,32.212801114,77.198374263
Gurgaon,28.4667564,77.0930199
Srinagar,34.0988217041,74.8429782876
Pune,18.2962689,73.637432
Chiplun,17.5323106,73.5177928
Pune,18.5479334006,73.9009630948
Manali,32.226787,77.1854487
Bangalore,12.9058293,77.5783209
Bagalkot,16.1846503,75.7009452
Wayanad,11.6045217,76.0834992
Chandigarh,30.7046486,76.7178726
Mcleodganj,32.2418621,76.3208346513
Goa,15.5606883347,73.7527654812
Rishikesh,30.0869281,78.2676116
Anantapur,14.4158928,77.7255276
Nainital,29.4240533,79.4266449
Palakkad,10.7770321,76.6763738
Srinagar,34.1255413,74.9442585
Chennai,12.9661099,80.1479566
Bangalore,12.9570902252,77.7022349063
Pushkar,26.489749,74.5510856
Dapoli Camp,17.7656238,73.1674128
Calicut,11.2587531,75.78041
Goa,15.5809248,73.7448437
Guwahati,26.1783205,91.7530844
Tiruvannamalai,12.2358388,79.0263645
Hyderabad,15.9128998,79.7399875
Mumbai,18.9304462,72.8260931
Rishikesh,30.131591,78.3241469
Gwalior,26.1973344,78.1684973
Lucknow,26.8481666,80.98527
Ernakulam,9.976876034,76.3026112597
Goa,15.5945406935,73.7343353022
Jaipur,26.9182202278,75.7997847462
Noida,28.5411427947,77.3828284668
Kanha,22.2830364,80.6181218
Munnar,10.0889333,77.0595248
Udaipur,24.5443247803,73.6441764164
Bangalore,12.9715987,77.5945627
Faizabad,28.6139391,77.2090212
Bangalore,13.370154,77.6834551
Munnar,10.03087,77.1618783
Goa,15.2993265,74.123996
Rohtak,28.8890982,76.6138327
Mandarmani,21.659977,87.6908123
Raigad,18.7624023,72.8652243
Munnar,10.0866509,77.0610071
Chikmagalur,13.3685736,75.6571751
Kolkata,22.5827198,88.40827942
Manali,32.2396325,77.1887145
Manali,32.0965025688,77.1267876583
Varkala,28.6139391,77.2090212
Thrissur,10.4184641,76.0994875
Kodaikanal,10.235603779,77.4924222226
Malwan,16.1086061,73.471054
Chennai,13.0694273,80.1980712
Lucknow,26.8619742962,80.9784085179
Indore,22.7176110782,75.8746234387
Chennai,13.054749,80.2111616
Sawai Madhopur,26.0169176317,76.3649125045
Wayanad,11.6517395,76.187579
Varanasi,25.2980853,83.0008432
Coimbatore,11.0168445,76.9558321
Chennai,13.0826802,80.2707184
Hyderabad,17.4468922696,78.3837946587
Mumbai,19.1199358,72.8466076
Jaipur,26.9254891018,75.790819347
Goa,15.5443686,73.7615756
Kolhapur,16.7024958,74.2322025
Goa,15.5945904354,73.7379630908
Gurgaon,28.4599209209,77.0622687423
Aritar,27.1878853,88.6747675
Dharwad,15.4540736701,75.0073431242
Bangalore,12.8971736,77.5999789
Bhiwadi,28.1433381717,76.8159565517
Baleshwar,21.4498151,87.0168535
Mahabaleshwar,17.9313112,73.6672583
Pune,18.5362084,73.8939748
Ghaziabad,28.664471,77.321394
Baijnath,32.0521085,76.6492869
Gurgaon,28.4622335,77.0948864
Bangalore,12.9546284,77.6822522
Chennai,13.0123464,80.2415414
Jaisalmer,26.9150981683,70.9467535331
Gurgaon,28.4546386,77.0390265
Jaisalmer,26.901934,70.9458929
Shahtalai,31.4531151,76.5204857
Jaisalmer,26.9098688,70.9104913
Guwahati,26.1446451,91.7842783
Almora,29.593587,79.5448673
Jodhpur,26.2508270548,73.3963421143
Goa,15.5060246156,73.8251888487
Agra,27.2070155372,77.9716572646
Jalandhar,31.3260152,75.5761829
Varkala,8.7403891,76.6974664
Hubli,15.3513362,75.1379375
Nainital,29.3803039,79.4635658
Coorg,12.3374942,75.8069082
Chail,30.9676214,77.1916497
Goa,15.5654778167,73.7497782216
Bangalore,12.9839161,77.7520895
Chikhaldara,21.3981985,77.3447554
Nainital,29.3763956,79.391605
Panchgani,17.9239501,73.8036752
Dibrugarh,27.4728327,94.9119621
Gurgaon,28.4601745,77.0666121
Mysore,12.4102751962,76.6708806808
Munnar,10.0376437,77.1629804
Gangtok,27.3270234,88.6111288
Jaipur,26.7662554175,75.8359361825
Dhanaulti,30.4209685,78.2509964
Yercaud,11.775251,78.2092576
Havelock Island,12.0231359884,93.0043134214
Kolkata,22.6183660819,88.432790624
Tirupati,13.6269935739,79.4285833248
Goa,15.541667,73.761944
Hyderabad,17.4471644,78.3722413
Goa,15.582884303,73.7398321841
Delhi,28.519884478,77.0836660624
Kanyakumari,8.0883064,77.5384507
Buxar,25.5657858,83.9770718
Aizawl,23.740738,92.7172255
Nainital,29.343056,79.559167
Coorg,12.3369072598,75.8257909515
Delhi,28.5482235,77.2393398
Dharmsala,32.2211495138,76.33433567
Mumbai,19.1629338,72.839241
Marayoor,10.2733958,77.1587239
Bangalore,13.0058336,77.6571505
Chikmagalur,13.4008043,75.286064
Golaghat,28.6139391,77.2090212
Alleppey,9.4907281734,76.3234578847
Pune,18.5857867197,73.7343496128
Gangtok,27.3311995,88.6063836
Hosur,12.7409127,77.8252923
Bundi,25.43815,75.637306
Alibag,18.6122881426,72.9006202415
Varanasi,25.305252511,83.0092712792
Bangalore,12.8399389,77.6770031
Srinagar,34.0836581,74.7973681
Courtalam,8.9510976,77.298937
Gandhinagar,23.2472514118,72.6341491799
Yamunanagar,30.1290485,77.2673901
Puri,19.7984678,85.8221719
Daman,20.4170634481,72.8400797794
Munnar,10.0380683,77.0053233
Mathura,27.493852729,77.6770469785
Mysore,12.2958104,76.6393805
Kaziranga,26.5775358,93.1689333
Visakhapatnam,17.7361885,83.3296805
Mandya,12.4307791,77.2175223
Agra,27.1614467,78.0372502
Goa,15.5494718,73.744731
Udaipur,24.5890187,73.6783031
Thekkady,9.6256409544,77.1605980133
Coorg,12.4225988,75.7403141
Jharsuguda,21.8828307,84.0246733
Chittoor,13.217176,79.1003289
Kewzing,27.28584,88.3945669
Coonoor,11.3552079,76.8067603
Bangalore,13.0720866,77.5034333
Chennai,13.0826869,80.2705066
Tirupati,13.6403071,79.4176391
Sathyamangalam,12.8206717,77.8907068
Shantiniketan,23.6813648,87.6861602
Ooty,11.4069926,76.7035518
Naukuchiatal,29.3456842,79.5605433
Alibag,18.6554173028,72.8670509643
Goa,15.5754515089,73.7606156365
Dooars,26.4918891,89.5271026
Gangtok,27.3256949,88.6132309
Manali,32.250898055,77.1782860714
Bangalore,12.9724861,77.6071336
Bangalore,12.9697999,77.7499467
Goa,15.4586072,73.8167385
Guhagar,17.4640665,73.1960032
Rajkot,22.3144368,70.790491
Goa,15.5396068101,73.7594301507
Delhi,28.5561624,77.0999578
Kalimpong,27.073658,88.4772009
Gurgaon,28.4583384,77.06652
Guruvayoor,10.5961586,76.0439883
Ghaziabad,28.6691565,77.4537578
Rishikesh,30.1146663,78.3009966
Tuljapur,18.010037,76.0710681
Ganpatipule,16.990215,73.3120233
Vapi,20.37121773,72.923172
Jodhpur,26.7248111467,72.8881131745
Delhi,28.6412478,77.2115913
Mcleodganj,32.2330513354,76.3248494165
Coorg,12.4244205,75.7381856
Vadodara,22.3071588,73.1812187
Delhi,28.635308,77.22496
Kalimpong,27.0744759,88.4767834
Shimla,31.013228466,77.1767869093
Jodhpur,26.108617432,73.0800983701
Tiruchirappalli,10.7978225,78.6840936
Jaisalmer,26.8304527,70.5071565
Bangalore,12.9115889,77.6044808
Cochin,9.9629965362,76.2421841025
Puri,19.7876816,85.7956868
Coimbatore,11.0331511,77.02766
Delhi,28.5706494,77.221724
Srinagar,34.1064027916,74.8577929047
Rewari,28.2002661275,76.6238453079
Goa,15.5543466776,73.7541057459
Udaipur,24.5787016632,73.6705704977
Gurgaon,28.635308,77.22496
Alleppey,9.5008137,76.3533724
Ajmer,26.4498954,74.6399163
Kullu,31.6392512544,77.4019492287
Alleppey,9.3964668247,76.3525813102
Ernakulam,9.9312328,76.2673041
Ooty,11.4064138,76.6932438
Pune,18.5454891,73.901995
Mumbai,18.9684004,72.8218168
Thiruvananthapuram,8.4957693,76.948048
Ernakulam,9.9685644008,76.2455854785
Dera Bassi,30.6526298,76.8213748
Ranchi,23.3440997,85.309562
Shimla,31.1020640914,77.1779387699
Manali,32.2254938,77.1827345
Paonta Sahib,30.445283,77.6020569
Jodhpur,26.2939712,73.0196819
Goa,15.5480826877,73.7862736985
Srinagar,34.1105857,74.8682569
Coimbatore,11.0454924481,77.0394160579
Dandeli,15.2496775,74.6173738
Coorg,12.4145983,75.7499417
Puri,19.8368546,85.8590198
Goa,15.5145247,73.7683784
Raipur,21.2513844,81.6296413
Chennai,12.9050047368,80.2098215265
Sonipat,28.9287735,77.091281
Kinnaur,31.4520937,78.4012701
Goa,15.5182584141,73.7664328516
Kota,24.9673086,75.5524157
Goa,15.2436676,73.9830029
Faridabad,28.384764,77.303723
Thrissur,10.5192579,76.2145961
Goa,15.6160059,73.78800964
Kalimpong,27.066667,88.466667
Alibag,18.6329476901,72.9247601227
Nainital,29.4464076,79.5596415
Goa,15.5754408526,73.7478430078
Bangalore,13.0567685,77.6277409
Alleppey,9.49442,76.322173
Bankura,22.9569938,86.7919009
Rishikesh,30.0940311661,78.3836462405
Goa,15.4997551,73.8294565
Goa,15.4568591,73.8038889
Jaisalmer,26.8416156,70.5458295
Ranchi,23.344187,85.3228297
Gurgaon,28.468328,77.076866
Varkala,8.7378685,76.7163359
Goa,15.1573147,73.9462689
Hubli,15.3555438,75.132963
Port Blair,11.6675019,92.7412765
Mumbai,19.1199648096,72.8856164107
Delhi,28.6429575,77.2125569
Pondicherry,11.9343533,79.8262733
Bhiwani,28.7990445,76.1335112
Barkot,30.8095473,78.2129208
Goa,15.0046790507,74.031705355
Varanasi,25.3176452,82.9739144
Bangalore,12.9704738,77.6135333
Coorg,12.4557188,75.9608267
Kanyakumari,8.0835553,77.5504491
Mount Abu,24.5925909,72.7156274
Srinagar,34.0884726645,74.8167067766
Kanatal,30.412054,78.3429
Bangalore,12.9718915,77.6411545
Raichur,17.9207349996,77.5207600149
Thrissur,10.5276416,76.2144349
Patna,25.6310210083,85.1100109063
Goa,15.4608885588,73.8771952197
Delhi,28.5279579,77.289785
Pune,18.7931606,73.5380629
Bharatpur,27.1661937175,77.2870593926
Mumbai,19.1551485,72.8678551
Rishikesh,30.1411840281,78.385477066
Mayurbhanj,21.7399401,86.8431671
Mumbai,19.1241087,72.8614488
Karaikkudi,10.1744419817,78.7807284321
Lonavala,18.74806,73.40722
Kullu,31.6411425824,77.4067503828
Kolkata,22.5135652,88.3475776
Bangalore,12.9589583,77.6636044
Faridabad,28.3624961,77.1873772
Goa,15.6657393952,73.7127158545
Hamirpur,31.6993508011,76.5190583607
Gurgaon,28.487598,77.089062
Nellore,14.4462682,79.9794142
Srinagar,34.08546066,74.8372345
Hyderabad,17.385044,78.486671
Chennai,12.9007644387,80.2279681457
Mandarmani,21.6654148337,87.7081227619
Darjeeling,27.0366757508,88.2657858361
Srinagar,34.1392303066,74.8396764376
Ahmedabad,23.0590810803,72.5228979029
Indore,22.7230386862,75.8870194663
Mussoorie,30.4554533,78.1022729
Jaipur,24.58,73.68
Greater Noida,28.4727672067,77.5106168397
Gurgaon,28.4550205,77.0601733
Tehri,30.2153505,78.7483293
Kotagiri,11.4234426,76.8672749
Raigad,18.794883,72.8940142
Mumbai,19.0408636,72.8434571
Manali,32.236735,77.1943747
Manali,32.2180778105,77.1855505338
Dalhousie,32.5444428,75.9598266
Kolkata,22.5140835,88.3546409
Goa,15.5591286373,73.7632500164
Goa,15.4936831,73.8360063
Noida,28.6284666,77.3877033
Siliguri,26.7083818,88.4268741
Dehradun,30.2882791,78.0259281
Goa,15.5364236,73.7645174
Chennai,12.9573627134,80.1435605087
Gangtok,27.3307009,88.6113309
Leh,33.5958493,78.2931706
Gurgaon,28.4784642,77.0988523
Srinagar,34.0836708,74.7972825
Shillong,25.575979108,91.8887408339
Sirmaur,30.5628455,77.4701972
Goa,15.6494609052,73.8205490962
Goa,15.5512277,73.7654367
Chittorgarh,24.8938295306,74.8066452923
Mandarmani,21.666,87.705
Coorg,12.4248789,75.9535815
Goa,15.4883720172,73.8122052953
Palakkad,10.7867303,76.6547932
Rajahmundry,17.0005383,81.8040345
Goa,15.61598206,73.78794861
Hyderabad,17.4027421,78.4524591
Thekkady,9.7322165404,77.1495580177
Ooty,11.4006193945,76.7037700321
Gorakhpur,26.7605545,83.3731675
Dapoli Camp,17.7339421544,73.2033396625
Chandigarh,30.6660881,76.81584167
Delhi,28.6429341,77.2104942
Noida,28.5960875,77.3683319
Leh,34.063895966,77.6258053311
Kolkata,22.5406898,88.3688034
Sivaganga,9.8432999,78.4808775
Ernakulam,9.961959593,76.2696557791
Goa,15.6003637,73.7475256
Haridwar,29.9477248,78.1575566
Jodhpur,26.2638039379,73.0356221307
Goa,15.3064122,73.9376693
Chennai,12.9236898,80.2510769
Munnar,10.0543016,77.0669966
Roorkee,29.9395424,77.8119892
Lava,27.0863078,88.6615125
Faridkot,30.678187,74.7395591
Panchgani,17.9178060403,73.805327612
Jaipur,26.8959092,75.8265853
Bikaner,28.0158586289,73.3274681567
Chittoor,13.6366545927,78.9621721113
Leh,33.9091553347,78.4578208923
Goa,15.52869102,73.7663824365
Bangalore,12.92390251,77.61832428
Mahabaleshwar,17.9167,73.6667
Shimoga,13.9299299,75.568101
Chikmagalur,13.315258,75.7754018
Wayanad,11.5397344855,76.0529623596
Jalpaiguri,26.707656,89.5603257
Jaipur,26.9132858,75.8034465
Mettupalayam,11.4069933,76.714624
Kolkata,22.368008,88.2717848
Chennai,12.7075432487,80.2282858534
Pahalgam,33.9813634,75.3200528
Mount Abu,24.5997520754,72.7127906806
Aizawl,23.7410147,92.7167939
Thekkady,9.6079748717,77.1613828981
Malwan,16.0630693,73.471054
Gangtok,27.3293508,88.6126041
Rishikesh,30.0794925831,78.4422259033
Jaisalmer,26.614811,70.716087
Gurgaon,28.4923389,77.1079088
Gurgaon,28.4330113,77.0471068
Chennai,13.0509809,80.2272879
Gangtok,27.3282682,88.6114215
Bangalore,12.9316556,77.6226959
Panchkula,30.6942091,76.860565
Ernakulam,9.9672391718,76.2816978454
Allahabad,25.4528147,81.8369595
Munnar,10.035580778,77.0547665612
Dahej,21.708045,72.588307
Dhanaulti,30.4243727279,78.2499475434
Thekkady,9.636789044,77.1579603994
Pune,18.5633602525,73.7849155799
Cochin,10.0573111,76.3212722
Munnar,10.1287712057,76.8884588734
Chandigarh,30.7398339,76.782702
Daltonganj,24.0420432,84.0907246
Bikaner,28.0229348,73.3119159
Mathura,27.58,77.7
Corbett,29.361556237,79.2351613516
Jaipur,26.8944101634,75.8915641399
Alleppey,9.4839463,76.3204492
Goa,15.2791105,73.9355789
Munnar,10.0592989401,77.0079593317
Agartala,24.3792801,92.1619112
Delhi,28.6410513,77.2131881
Rishikesh,30.1385124,78.5941402
Delhi,28.6511623,77.2341293
Matheran,18.9886587,73.271179
Rishikesh,30.1376039258,78.3872821825
Kanatal,30.4137449,78.3458198
Kolkata,22.5495342163,88.3080793797
Gangtok,27.3221431,88.6107834
Munnar,10.0402664,77.0427052
Mahabalipuram,12.7455799341,80.2410335776
Visakhapatnam,17.712981027,83.2995632612
Goa,15.5434203262,73.7628405454
Manali,32.1372965947,77.1706648207
Gurgaon,28.453807,77.0492504
Goa,15.4957706,73.8308789
Karaikudi,10.2349785,78.8269385
Lonavala,18.7546171,73.4062342
Gangavathi,15.4290801,76.5352105
Shimla,31.1051626922,77.1672222622
Goa,15.3729710373,73.8332704859
Bangalore,12.92378,77.6170964
Manali,32.2231513303,77.1962568718
Varanasi,25.2921212,82.9981617
Leh,34.9285134,77.4572897
Kolhapur,16.703604,74.2502122
Goa,15.544495987,73.7619192407
Cochin,9.9312328,76.2673041
Hubli,15.3489162,75.1127597
Ahmedabad,23.0810004896,72.6171822357
Rishikesh,30.1375144327,78.392092064
Coorg,12.4240013967,75.7289373433
Kutch,22.8623574152,69.288530363
Delhi,28.553539175,77.244036232
Udaipur,24.58032227,73.66916656
Coorg,12.423815,75.7359066
Karjat,19.0917123,73.3808055
Masinagudi,11.5343513174,76.6411863409
Haridwar,30.1236621078,78.3300089954
Gurgaon,28.3754567,76.9066829
Jaisalmer,26.9033674,70.9125595
Kumarakom,9.6201751,76.4447196
Kasol,32.0103852462,77.3169225242
Bangalore,13.2044921,77.7076907
Goa,15.0453327347,73.9855752185
Chandigarh,30.7079677,76.7610647
Gurgaon,28.4554726,77.0219019
Thekkady,9.6031088,77.161458
Ahmedabad,22.7798632244,72.2011873753
Jaisalmer,26.9121611624,70.9117775275
Coorg,12.3782114489,75.7708069113
Hampi,15.3349787,76.4619485
Pondicherry,11.8067199265,79.7979068771
Chennai,13.0361426,80.2779054
Amritsar,31.6355038,74.8745873
Goa,15.2144855357,73.9334940122
Corbett,29.4710995957,79.1513007457
Ooty,11.4047494,76.7147023
Goa,15.5347769909,73.7641986991
Corbett,29.3510883,79.079715
Jaisalmer,26.8428754301,70.5352034285
Hyderabad,17.5392302,78.9481657
Delhi,28.5660031799,77.268704
Indore,22.7476351686,75.895152994
Gwalior,26.2129018,78.1702663
Coorg,12.4411860421,75.7160681044
Chennai,12.9531946,80.1416008
Una,31.6622025,76.0594972
Ghaziabad,28.6527077104,77.326411995
pachmarhi,22.4674463,78.4345854
Gurgaon,28.4650891092,77.0649388378
Bahadurgarh,28.6924464,76.9239727
Munnar,10.0746385816,77.0615346828
Ernakulam,9.9588628,76.2956985
Wayanad,11.703206,76.0833999
Manali,32.1103701,77.1629808
Golaghat,26.5913415,93.3993751
Bangalore,13.0418465333,77.6134110061
Pune,18.5455256,73.9056822
Jaisalmer,26.8557251617,70.5515801561
Jaisalmer,26.9175472093,70.9471826865
Bangalore,12.9325274,77.6305881
Corbett,29.4106016,79.0086616
Kodaikanal,10.2381136,77.4891822
Gurgaon,28.4964343,77.0900843
Bangalore,13.0198124,77.6412697
Navi Mumbai,19.046641,73.017572
Lucknow,26.8519318,81.0337813
Goa,15.28952,73.9303483
Goa,15.5089941746,73.8432539813
Coorg,12.4181366,75.7432424
Gurgaon,28.4160426,77.0593246
Kumarakom,9.6181641973,76.4274591196
Naukuchiatal,29.3446797,79.5615184
Coimbatore,11.0209104186,76.9888167994
Malwan,16.0370463,73.4847782
Mandawa,27.9769633,75.1866396
Jamshedpur,22.80989,86.2076092
Goa,15.0118624751,74.0231978129
Bhuj,23.2298801283,69.6892710053
Goa,15.52930191,73.7647665801
Goa,15.5441869361,73.7610998208
Pune,18.4593216,73.8250466
Goa,15.2386938383,73.9299314687
Amritsar,31.642140556,74.8696911317
Bikaner,28.01989,73.317551
Corbett,29.4653823838,79.1470901954
Dharmsala,32.199859,76.3360862
Gangtok,27.3255388,88.6120105
Ooty,11.4157526814,76.71174836
Ernakulam,9.9680898,76.244565
